Curso,Sexo,¿Quién es Richard Stallman?,¿Sabes qué características tiene el software libre?,¿Debe ser el software libre siempre gratuito?,¿Puedo proteger mi trabajo con alguna licencia y que siga siendo software libre?,¿Conoces alguna licencia de software?,¿Cuáles?,¿Liberarías tu código con una licencia Creative Commons?,Marca cuáles de los siguientes programas crees que tienen una licencia libre,¿Qué es el copyright?,¿Qué es el copyleft?,¿Cúal se aplica por defecto ante ausencia de licencia de una obra?,¿Cuántos años dura el copyright en España?,¿Qué ocurre pasado ese tiempo con la obra?,¿Conoces GitHub?,¿Has subido algún proyecto a GitHub?,¿Qué significa hacer un fork de un proyecto?
3,M,Quien inició las licencias de software libre,Puedes ver y editar el código para tu propio beneficio,No,Sí,Sí,,NS/NC,"Google Chrome, Eclipse, Mozilla Firefox",Derechos de autor,Sin derechos de autor,Copyleft,NS/NC,NS/NC,Sí,No,NS/NC
3,M,NS/NC,Al adquirir el producto tienen que entregarte el código fuente y puedes modificarlo,No,Sí,No,,NS/NC,"Google Chrome, Eclipse, Mozilla Firefox, Telegram",Derechos de autor,NS/NC,NS/NC,NS/NC,NS/NC,Sí,No,NS/NC
3,M,"Fundador de GNU, desarrollador software (Debian), software libre",Público,No,Sí,Sí,CC,"Sí, me parece positivo que otros puedan continuar modificándolo y mejorándolo","Eclipse, Mozilla Firefox, Telegram",Licencia para proteger un determinado producto de la copia,NS/NC,NS/NC,NS/NC,Se libera,Sí,No,NS/NC
3,M,Fundador de software libre,NS/NC,No,Sí,No,,"Sí, para permitir que cualquiera pueda usarlo","uTorrent, Eclipse, Telegram",Copia y difusión de archivos sin licencia,NS/NC,Copyright,7 años,Se permite la difusión libre de dicho contenido,Sí,Sí,NS/NC
3,F,Informático muy concienciado con el software libre,Se puede ver el código y editarlo y ser multiplataforma,Sí,NS/NC,No,,NS/NC,"Eclipse, Mozilla Firefox, Telegram",Derechos de copia,NS/NC,NS/NC,NS/NC,NS/NC,Sí,No,NS/NC
3,M,NS/NC,Sí,No,Sí,Sí,CC,"Sí, para el desarrollo colaborativo de código y para la mejora de la aplicación","Eclipse, Mozilla Firefox",Derecho de copia,NS/NC,Copyleft,NS/NC,"Cualquier persona puede distribuir, usar el contenido",Sí,Sí,Hacer una ramificación del proyecto principal en distintas ramas
3,M,NS/NC,"Acceso al código, se puede modificar, distribuir",NS/NC,Sí,No,,Depende de la situación del momento,"Google Chrome, Eclipse, Mozilla Firefox",No se puede hacer copia sin derecho de autor,NS/NC,NS/NC,NS/NC,Pasa a ser de todos,Sí,Sí,Crear una rama
3,M,Uno de los creadores de Linux,Siempre puedes ver el código fuente,No,Sí,Sí,"GNU, GPL, CC","Sí, para que la comunidad pudiese mejorarlo","uTorrent, Eclipse, Mozilla Firefox",Derechos de uso,NS/NC,Copyleft,NS/NC,NS/NC,Sí,Sí,Separar del master para desarrollar en otro hilo
1,M,NS/NC,NS/NC,No,NS/NC,NS/NC,,NS/NC,"Google Chrome, uTorrent, Mozilla Firefox",NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,No,No,NS/NC
3,F,NS/NC,Puede ser usado por el resto de personas accediendo al código fuente,NS/NC,Sí,NS/NC,,NS/NC,"uTorrent, Telegram",Derechos de autor,NS/NC,NS/NC,NS/NC,Pasado el tiempo la obra puede ser usada libremente,Sí,Sí,NS/NC
3,M,NS/NC,Acceso al código fuente y podemos modificarlo,No,Sí,Sí,CC,Sí mientras se reconozca la autoría y no se use con fines lucrativos,"uTorrent, Eclipse, Mozilla Firefox",Derechos sobre la obra,NS/NC,Copyleft,NS/NC,NS/NC,Sí,No,"Hacer una ramificación del proyecto bajo tu control, continuar con el código pero sin modificar el principal"
